CDU/Classe/sist_num
 657.63(81)(094) ALENC-JD AUDIT/6/000001671
 R 806.0-314 SAINZ RF ENSAY 8.ED./8/000004937
 929 HEMIN-E BAKER ROMAN/9/000002467
 342.511.7(81) BRASI P MENSA 1971/3/000002688
 336.748.2(81) BRASI ST SUMUL/3/000002537
 R 340.142(81) BRASI-ST ALTER/3/000002524
 347.991(81)(094) BRASI-ST REGIM 1971/3/000001836
 338 DAHL RA POLIT/3/000002535
 32(81)(042) MEDIC-EG VERDA/3/000002765
35.077.7 NEY-JL PRONT 6.ED./3/000002410
 336.2(81) NOGUE- RB DIREI/3/000001690
 33 ROSSE JP INTRO 2.ED./3/000002675
 338.26(81) METAS-BA METAS 1971/3/000002763
 352(81) AGUIA-JC SERVI/3/000001695
 658.011 ALBER-HH PRINC/6/000001813
 860(091) ALBOR-JL HISTO 2.ED./8/000011734
 007 ASHBY-WR INTRO/0/000000357
 343.222.2 BADAR R CAUSA/3/000002567
 7.01 BANFI-A FILOS/7/000002628
 347.734(81) BARRE LM QUEST/3/000002379
 820(73) BARTH-J PERDI/8/000001428
377.3 BAUZE-R FORMA/3/000001051
 355.43 BEAUF-A ESTRA/3/000005371
 342(73) BLACK HL CRENÇ/3/000002632
 82 BONET-CM FONTE/8/000002667
" 572.1/.4 BRACE-CL ESTAG"/5/000002361
 34(81)(094) BRASI L NOVIS 7.ED. 1.SUPL./3/000002564
 342.4(81)(094) BRASI-SF CONST QUADR 1970/3/000002561
 633.73 BRASI-CC PAREC/6/000002317
 347.238(81)(094) BRASI L HABIT/3/000001732
34(37) BRASI-CC DIREI/3/000000356
 330.341.42 BRYCE MD POLIT/3/000001653
 343.2 CASTE VP DIREI/3/000002569
 349.3(81) CESAR-A PREVI/3/000001741
 947 CONQU-R GRAND/9/000002386
 869.0(81) DANTA-P LOBO/8/000001745
 323.27 DECOU-A SOCIO/3/000001633
 929 STALI-I DEUTS/9/000002438
 330.85 DJILA M ALEM/3/000002540
 659.3 ECO-U APOCA/6/000001632
 340.11 FARIA-AO INSTI/3/000002533
 330.85 FETSC I KARL/3/000002292
 330.85 FISCH E QUE/3/000002680
 869.0.09 QUEIR-E FONSE/8/000000340
 321.01 FRIED-CJ INTRO/3/000002501
 316.722(410) FROST-D INGLE/3/000002511
 371.12(81) GONÇA-E MAGIS/3/000002557
 792(73)(091) GOTTF-M TEATR/7/000002751
 330.101.542 HEILB-RL INTRO/3/000001656
 316.48(09) HOBSB-EJ REBEL/3/000001407
 342.4(81)(094.46) JACQU-P CONST 1967 3.ED./3/000002570
" 37.034/.035 KELLY C INTRO"/3/000001518
 321 KRADE-L FORMA/3/000002446
 070.6 KRIEG-H CIENC/0/000001396
 342(45) LAVAG C INSTI/3/000000802
 911.3 LEBON-JH INTRO 2.ED./9/000011750
 392.6 LILAR-S CASAL/3/000002731
 347.627.2 LIMA DS DESQU/3/000002380
 159.961 LINS-E FANTA/1/000001595
 338(8=6) LOBO EM AMERI/3/000002538
 929 BARRO-A LUCIA/9/000001777
 840 MAUPA-G BOLA/8/000002340
 32(81)(042) MEDIC-EM JOGO 2.ED./3/000002767
 338.2(81) MELO M DESAF/3/000002646
 340.12 MESSN-J ETICA QUADR/3/000001675
63(1-77) MILLI MF PROBL/6/000002769
 347.922 MIRAN P TRATA/3/000010358
 339.9 MONTE AF PONTO 2. ED./3/000002419
 942 MORTO-AL HISTO/9/000002679
 338.1 MYRDA G SUBDE/3/000002549
 373 NEILL- AS LIBER ESCOL/3/000001610
 35.087.43(81)(094) OLIVE-JE APOSE/3/000001692
