autor/titulo/topics/sist_num
Alencar, José Daniel de./"Auditoria contábil, de programas e de tomadas e prestações de 
      contas"/['Contabilidade pública, legislação, Brasil.', 'Auditoria, legislação, Brasil.', 'Prestação de contas, legislação, Brasil.', 'Tomada de contas, legislação, Brasil.']/000001671
Sáinz de Robles, Federico Carlos, 1898-1982./Ensayo de um diccionario español de sinonimos y antonimos/['Língua espanhola, dicionário.', 'Língua espanhola, antônimo, dicionário.', 'Língua espanhola, sinônimo, dicionário.']/000004937
Baker, Carlos, 1909-1987./Ernest Hemingway/['Hemingway, Ernest, 1899-1961, biografia.', 'Escritor, biografia, Estados Unidos.']/000002467
Bezerra Neto, 1910-1999,/O Estrangeiro nas leis do Brasil/['Estrangeiro, Brasil.', 'Estrangeiro, legislação, Brasil.']/000002378
Brasil. Presidente (1969-1974/Mensagem ao Congresso Nacional/['Administração pública, Brasil.', 'Mensagem presidencial, Brasil.']/000002688
Brasil. Supremo Tribunal Federal/"Sumulário da jurisprudência sobre correção monetária no 
      Supremo Tribunal Federal"/['Brasil. Supremo Tribunal Federal, súmulas.', 'Correção monetária, jurisprudência, Brasil.']/000002537
Brasil. Supremo Tribunal Federal/"Alterações à sumula da jurisprudência predominante no Supremo 
      Tribunal Federal"/['Brasil. Supremo Tribunal Federal, súmulas.', 'Jurisprudência, Brasil.', 'Tribunal superior, Brasil., jurisprudência.']/000002524
Brasil. Supremo Tribunal Federal/Regimento interno ; Tabela de custas/['Brasil. Supremo Tribunal Federal, regimento.', 'Tribunal supremo, Brasil, regimento.']/000001836
Dahl, Robert A., 1915-2014./Política, economia e bem estar social/['Economia.', 'Bem-estar social.', 'Ciência política.']/000002535
Malta, Christóvão Piragibe Tostes, 1929-2017./Prática do processo trabalhista/['Processo trabalhista, Brasil.', 'Justiça do trabalho, Brasil.']/000002369
Médici, Emílio Garrastazu, 1905-1985/A verdadeira paz/['Presidente da República, discursos etc., Brasil.', 'Política e governo, discursos etc., Brasil.']/000002765
Ney, João Luiz, 1924-/Prontuário de redação oficial/['Redação oficial.', 'Ato administrativo, modelo.', 'Correspondência oficial.']/000002410
Nogueira, Ruy Barbosa, 1919-2003./Direito financeiro/['Direito tributário, Brasil.', 'Direito financeiro.', 'Tributação, Brasil.']/000001690
Rossetti, José Paschoal, 1941-/Introdução à economia/['Economia.']/000002675
Aguiar, Joaquim Castro./O servidor municipal/['Servidor público municipal, Brasil.', 'Administração municipal, Brasil.']/000001695
Albers, Henry Herman, 1919-2016./Princípios de organização e administração/['Administração industrial, ensino programado.', 'Controle administrativo, ensino programado.', 'Teoria da administração.']/000001813
Alborg, Juan Luis, 1914-/Historia de la literatura española/['Literatura, história e crítica, Espanha.', 'Literatura, Espanha.']/000011734
Ashby, William Ross, 1903-1972./Uma introdução à cibernética/['Cibernética.']/000000357
Badaró, Ramagem,/Causalidade, culpabilidade, nexo causal na doutrina penal/['Culpabilidade.', 'Causalidade (direito)', 'Crime.', 'Culpa (direito penal)', 'Dolo (direito penal)', 'Nexo de causalidade.', 'Responsabilidade penal.']/000002567
Baleeiro, Aliomar, 1905-1978/Direito Tributário Brasileiro/['Direito tributário, Brasil.', 'Administração fiscal, Brasil.', 'Crédito tributário, Brasil.', 'Obrigação tributária, Brasil.', 'Tributação, Brasil.']/000001810
Banfi, Antonio, 1886-1957./Filosofia da arte/['Estética, discursos etc.', 'Arte, filosofia, discursos etc.']/000002628
Barretto, Lauro Muniz,/Questões de direito bancário/['Direito bancário, legislação, Brasil.', 'Serviços e operações bancárias.', 'Serviços e operações bancárias, legislação, Brasil.']/000002379
Barth, John, 1930-2024./Perdido no túnel do terror/['Conto, Estados Unidos.', 'Literatura, Estados Unidos.']/000001428
Bauzer, Riva./Formação para a administração pública - iii/['Administração pública, ensino, Brasil.', 'Formação profissional.']/000001051
Beaufre, André, 1902-1975./Estrategia da ação/['Estratégia.']/000005371
Black, Hugo Lafayette, 1886-1971./Crença na constituição/['Direito constitucional, Estados Unidos.', 'Direito constitucional, Estados Unidos, 1787, legislação.']/000002632
Bonet, Carmelo, 1886-1977./As fontes da criação literária/['Retórica.']/000002667
Brace, C. Loring, 1930-2019./Os estágios da evolução humana/['Pessoa pré-histórica.', 'Evolução humana.']/000002361
Brasil./Novissimo vade-mecum forense/['Legislação, Brasil.']/000002564
Brasil./Constituição da República Federativa do Brasil/['Brasil. Constituição (1967)', 'Brasil. Constituição (1967). Emenda n. 1.']/000002561
"Brasil. Congresso Nacional. Senado Federal. Diretoria das 
      Comissões."/Comissão Mista do Café./['Café, Brasil.', 'Café solúvel.', 'Café, legislação, Brasil.']/000002317
Brasil./Habitação e condomínio./['Habitação, Brasil, legislação.', 'Condomínio, Brasil, legislação.']/000001732
"Brasil. Congresso Nacional. Câmara dos Deputados. Biblioteca. 
      Seção de Referência e Circulação."/Direito romano./['Direito romano, bibliografia.']/000000356
Bryce, Murray D., 1917-/Políticas e métodos de desenvolvimento industrial/['Industrialização.', 'Desenvolvimento econômico.']/000001653
Castelo Branco, Vitorino Prata, 1914-1994./Direito penal/['Direito penal.']/000002569
Cesar, Afonso./Previdência social para empresários e trabalhadores/['Previdência social, legislação, Brasil.']/000001741
Conquest, Robert, 1917-2015./O grande terror/['Stalinismo, história.', 'União Soviética, história.']/000002386
