autor/titulo/topics/sist_num/CDU/Classe/CDU_Numerica
Grass, Günter, 1927-2015./Evidences politiques/['Política e governo, Alemanha (República Federal), coletânea.']/211/ 32(430.1) GRASS-G EVIDE/3.0/ 32(430.1) - 
Martindale, Don, 1915-1985./La teoria sociologica/['Sociologia, história.']/250/ 316 MARTI-D TEORI/3.0/ 316 - 
Freitas, José Itamar de./Brasil, ano 2000/['Condições sociais, Brasil.', 'Condições econômicas, Brasil.']/257/ 304(81) FREIT-JI BRASI/3.0/ 304(81) - 
Santos, Eduardo dos, 1930-/Ideologias políticas africanas/['Política, África.', 'Pan-africanismo.', 'Socialismo, África.']/259/ 32(6) SANTO-E IDEOL/3.0/ 32(6) - 
sem autor pessoal/L'investment trust nelle esperienze e nei progetti europei/['Fundo de investimento.', 'Investimento.']/265/ 336.714 INVES T INVES/3.0/ 336.714   
Laure, René, 1912-2004./L'héritage de Johnson/['Condições sociais, Estados Unidos, 1945-', 'Condições econômicas, Estados Unidos, 1945-', 'História econômica, Estados Unidos, 1945-', 'Política externa, Estados Unidos.', 'Supremacia, Estados Unidos, 1945-']/268/ 338.1(73) LAURE-R HERIT/3.0/ 338.1(73) - 
Essien-Udom, Essien Udosen, 1928-2002./O poder negro/['Negros, Estados Unidos.', 'Nacionalismo, Estados Unidos.', 'Racismo, Estados Unidos.']/269/ 323.12(73=96) ESSIE-EU PODER/3.0/ 323.12(73=96) - 
sem autor pessoal/International encyclopedia of the social sciences/['Ciências sociais, dicionário.']/270/ R 3(03) INTER ES INTER/3.0/  3(03)   
Meynaud, Jean, 1914-1972./A ciência política/['Ciência política.']/302/ 32 MEYNA-J CIENC/3.0/ 32 - 
Karol, K. S., 1924-2014./A nova China/['Condições sociais, China (República Popular)', 'Identidade nacional, China (República Popular)']/311/ 308(510) KAROL-KS NOVA/3.0/ 308(510) - 
Gigon, Fernand, 1908-1986./Vie et mort de la Revolution Culturelle/['Comunismo, China (República Popular)', 'Revolução social, China (República Popular)', 'China']/314/ 330.85(510) GIGON-F VIEET/3.0/ 330.85(510) - 
Costa, Manuel da Silva./Portugal, pais macrocefalo/['Desenvolvimento socioeconômico, Portugal.', 'Desenvolvimento socioeconômico, Lisboa (Portugal)']/317/ 338.1(469) COSTA MS PORTU/3.0/ 338.1(469)   
Brasil. Congresso Nacional. Câmara dos Deputados/Deputados brasileiros/['Deputado, Brasil, biografia.', 'Biografia, Brasil.']/335/342.532(81) BRASI CC DEPUT 1967-1971/3.0/342.532(81)    1967-1971
"Brasil. Congresso Nacional. Câmara dos Deputados. Biblioteca. 
      Seção de Referência e Circulação."/Direito romano./['Direito romano, bibliografia.']/356/34(37) BRASI-CC DIREI/3.0/34(37) - 
Chinoy, Ely, 1921-1975./Perspectiva sociológica/['Sociologia.']/363/ 316 CHINO-E PERSP/3.0/ 316 - 
George, Pierre, 1909-2006/Sociologia e geografia/['Sociologia.', 'Geografia.']/365/ 316 GEORG-P SOCIO/3.0/ 316 - 
Janne, Henri, 1908-1991./Le systeme social/['Sociologia.']/366/ 316 JANNE-H SYSTE/3.0/ 316 - 
Rudner, Richard S./Filosofia da ciência social/['Ciências sociais, filosofia.', 'Funcionalismo (ciências sociais)']/379/ 303.01 RUDNE-RS FILOS/3.0/ 303.01 - 
Cuvillier, A. (Armand), 1887-1973/Manual de sociologia (com bibliografia)/['Sociologia.']/383/ 316 CUVIL-A MANUA/3.0/ 316 - 
Alexandre, Philippe, 1932-/L'Elysée en peril, 2-30 mai 1968/['Tumulto, Paris (França), 1968.', 'Movimento estudantil, França, 1968.', 'Política e governo, França, 1968-']/387/ 323.23(44) ALEXA-P ELYSE/3.0/ 323.23(44) - 
Pereira, João Baptista Borges, 1929-/Côr, profissão e mobilidade/['Negros, Brasil.', 'Antropologia social.', 'Discriminação racial, São Paulo (Estado)', 'Negros, São Paulo (Estado)', 'Radiodifusão, São Paulo (Estado)', 'Trabalhador negro, Brasil.']/406/ 39(81=96) PEREI-JB CÔR/3.0/ 39(81=96) - Ô
Hyman, Herbert Hiram, 1908-/Planejamento e análise da pesquisa/['Ciências sociais, metodologia.', 'Método de pesquisa.', 'Pesquisa social.']/407/ 3.001.5 HYMAN-HH PLANE/3.0/ 3.001.5 - 
George, Pierre, 1909-2006/Geografia social do mundo/['Sociologia.', 'Condições sociais.', 'Geografia econômica.']/408/ 308 GEORG-P GEOGR/3.0/ 308 - 
Althusser, Louis, 1918-1990/Análise crítica da teoria marxista?/['Marx, Karl, 1818-1883', 'Marxismo.']/471/ 330.85 ALTHU L ANALI/3.0/ 330.85   
Du Puy de Clinchamps, Philippe, 1913-1971./História breve da cavalaria/['Cavalaria, história.']/484/ 357.1(091) DUPUY-P HISTO/3.0/ 357.1(091) - 
sem autor pessoal/Estudos de administração fiscal/['Brasil. Ministério da Fazenda.', 'Administração fiscal.', 'Administração fiscal, direito comparado, Brasil, Estados Unidos.', 'Imposto de renda, direito comparado, Estados Unidos, Brasil.']/507/ 354.21(81) ESTUD-AF ESTUD/3.0/ 354.21(81) - 
